id,subject_id,device_id,prior_use,instruction_difficulty,instruction_comments,assembly_difficulty,assembly_comments,collection_difficulty,collection_comments,leakage
45,9,5,More than 3 times,Very easy,Used this many times before.,Very easy,,Easy,It takes some effort spitting.,FALSE
46,10,1,1-3 times,Very easy,Could have done without reading. Some info wasn't useful like non-hazard waste.,Very easy,Could have done without instructions.,Very easy,It did not spill.,FALSE
47,10,2,More than 3 times,Easy,,Easy,,Fair,Kind of weird guiding spit.,FALSE
48,10,3,1-3 times,Very difficult,Wasn't sure after reading.,Easy,No assembly really.,Easy,Just tasted terrible and saliva dripped.,TRUE
49,10,4,1-3 times,Difficult,Does it have to go under the tongue?,Fair,It was easy but many parts which all to permutations of use.,Fair,I had to use the most effort and it felt weird.,FALSE
50,10,5,1-3 times,Very easy,I like that they said think of food.,Fair,It was hard to screw in funnel. Funnel size was smaller than my mouth.,Easy,A bit flimsy as I spat.,FALSE
51,11,1,Never,Fair,"Font unreadable (small, times new roman?). Lack of diagrams. Unnecessary information.",Easy,,Easy,Nice that funnel was big.,FALSE
52,11,2,Never,Fair,Black and white diagrams. Unclear if I needed to unscrew cap.,Difficult,Cap was too tight I couldn't figure out how to assemble. The SCA broke into two pieces when trying to take it out.,Easy,,TRUE
53,11,3,Never,Easy,Font too small.,Fair,The main tube fell out when I was trying to remove cap.,Very easy,If I had taken [the swab] out w/ my hands like it said in the instruction diagram it would have [got onto my hands].,FALSE
54,11,4,Never,Difficult,Did not mention I needed to take the collector apart from collection tube.,Easy,,Fair,It takes longer and I had to keep taking out to check red dot.,FALSE
55,11,5,More than 3 times,Easy,,Very easy,,Easy,,TRUE
56,12,1,Never,Easy,"Tough to [ineligible] - contained technical information, storage and handling information that other kits didn't include. Actual user instructions were simple.",Very easy,,Easy,,FALSE
57,12,2,Never,Fair,"Set up was simple, but directing saliva into the tube wasn't very clear.",Easy,,Fair,,TRUE
58,12,3,Never,Fair,The pictures were a bit confusing --> spitting multiple times first wasn't clear.,Easy,,Easy,"The 2 minute time was too long, but it was nice that it was passive.",TRUE
59,12,4,Never,Difficult,It wasn't clear to me that you had to separate out the collector from the tube or where would be best to collect pooled saliva in the mouth.,Fair,,Difficult,Took longer than expected to collect enough saliva. Hard for me to generate saliva with collector in mouth.,TRUE
60,12,5,More than 3 times,Easy,Too many instructions --> no need to describe how to produce saliva or twist off the cap.,Easy,,Easy,,FALSE
61,13,1,Never,Fair,"Lots of extra info (storage, etc) not applicable to saliva collection.",Very easy,,Easy,I liked the shape of the funnel--more comfortable than the SwabSeq!,FALSE
62,13,2,Never,Difficult,Not very explanatory.,Easy,,Very difficult,"I thought they were fair, but the fact that it's called 'passive' made me think I couldn't spit into the tube. I thus tried just putting it under my tongue (where saliva pools) and tilting my head, but saliva wouldn't go into the tube! ",FALSE
63,13,3,Never,Easy,The directions themselves were easy-the format (very tiny text) was rather hard to read.,Very easy,,Very easy,I like that I didn't have to spit but could rather let something absorb my saliva--I really liked that.,FALSE
64,13,4,Never,Fair,Most complicated set-up of the 5.,Fair,Actual device components were easy to assemble.,Very difficult,"Took a long time to collect saliva. Then, hurt my hand to use plunger. Also, the tube leaked.",TRUE
65,13,5,Never,Very easy,"Funny-thinking about favorite food.
Device itself pretty self-explanatory.",Easy,,Fair,Had to tap the tube to get saliva to flow from funnel into tube.,TRUE
66,14,1,Never,Easy,"Wasn't that clear on how to ""collect"" the sample but it showed on the package itself.",Very easy,The funnel being put in the tube was straightforward.,Very easy,"Other than not getting enough saliva, spitting into the funnel was pretty easy.",FALSE
67,14,2,Never,Very easy,It was straightforward.,Easy,Slightly difficult to insert/remove the device from tube.,Easy,Not sure if I was supposed to take my mouth off but I did to check the line. Spit kept leaking out the top whenever I did.,TRUE
68,14,3,Never,Easy,Wasn't entirely sure how to get swab/do with swab until instructed.,Very easy,No assembly.,Easy,"Swab was large and uncomfortable, but didn't have to spit.",FALSE
69,14,4,Never,Fair,"Didn't realize you pull the foam part out and put that into mouth instead of the syringe tip, but may have been personal bias of previous saliva tests. Also, the instructions were a little complicated.",Easy,"The pieces fit in together. Definitely took a bit of effort, though.",Easy,The saliva collection using the collector was quite easy but pressing the syringe for 30s strained my fingers a little.,FALSE
70,14,5,Never,Very easy,Straightforward.,Easy,"Also straightforward but funnel didn't fit too well, which caused a little confusion.",Easy,Spitting into funnel was harder than experiment #2.,FALSE
71,15,1,Never,Difficult,The instructions were intimidating. There was lots of extraneous information. A key step (unscrew tube) was missing.,Very easy,,Very difficult,I couldn't tell at all if I'd collected what I was supposed to.,FALSE
72,15,2,Never,Difficult,I didn't understand what sniffing meant. Also confusing how to insert the piece.,Fair,Ok but I wasn't sure at first how to insert the piece in the tube.,Very difficult,I had a hard time knowing when I was done. I got soaked in saliva.,TRUE
73,15,3,Never,Fair,The instructions were weird--there was a picture of a baby with blood in its mouth. The font was too small for me.,Very easy,,Difficult,The feeling in my mouth was very unpleasant.,TRUE
74,15,4,Never,Fair,I was a bit overwhelmed with the multiple steps.,Easy,I had trouble opening the eppendorf tube because I'd just cut my nails.,Fair,I found it confusing at first--it was unclear whether it was working for a little while.,FALSE
75,15,5,More than 3 times,Easy,Nice to see large font. I was a bit unclear on how much exactly to collect from the instructions.,Easy,A bit hard to uncap the tube and not lose the cap which is very small.,Fair,I got a bit wet.,TRUE
76,16,1,Never,Easy,,Easy,,Fair,"Not sure how to put mouth on funnel, but the saliva does go in easily.",FALSE
77,16,2,Never,Easy,,Fair,Not sure how far to put SCA in.,Fair,,TRUE
78,16,3,Never,Fair,Confusing what you can do with the cotton in your mouth (where it should/can go).,Easy,,Fair,,FALSE
79,16,4,Never,Fair,More complex than the other options.,Fair,More components & steps than others.,Difficult,"More difficult than others, seems to take a while for the material to absorb enough.",TRUE
80,16,5,More than 3 times,Easy,,Fair,Sometimes hard to get the funnel in correctly (then bubbles build up etc),Fair,,FALSE
81,17,1,Never,Easy,,Very easy,,Easy,,FALSE
82,17,2,Never,Easy,In step 2 the instructions do not include a comment on removing the cap from the tube before inserting the SCA.,Very easy,,Fair,,TRUE
83,17,3,Never,Easy,Font too small.,Very easy,,Easy,,FALSE
84,17,4,Never,Easy,,Easy,,Easy,"A bit hard to hold for 30 sec, but otherwise quite simple.",FALSE
85,17,5,More than 3 times,Very easy,,Easy,,Easy,"The tube is a bit small, by the time it is half full with liquid it is overflowing with spit + air bubbles.",FALSE
86,18,1,Never,Very easy,,Very easy,Did not think funnel shape helped with collection (opening should be round).,Fair,,FALSE
87,18,2,Never,Easy,"""Relax and let saliva flow"" is optimistic wording.",Very easy,,Difficult,,TRUE
88,18,3,Never,Very easy,,Very easy,,Easy,,FALSE
89,18,4,Never,Difficult,Contents picture does not picture devices the way they came out of the plastic bag.,Fair,,Easy,,TRUE
90,18,5,More than 3 times,Very easy,,Fair,,Difficult,,TRUE
91,19,1,Never,Difficult,"Instructions are mostly for lab personnel, rather than user. User-facing part was very vague.",Very easy,,Very easy,,FALSE
92,19,2,Never,Very easy,,Very easy,,Very easy,,FALSE
93,19,3,Never,Very easy,,Very easy,,Very easy,,TRUE
94,19,4,Never,Fair,"There are 2 items in the packaging, but the instructions say there should be three.",Very easy,,Very easy,,FALSE
95,19,5,Never,Very easy,,Very easy,,Fair,Other funnel device was easier because the aperture of the funnel was larger.,FALSE
96,20,1,Never,Fair,I really liked the directions for use + image of the device--those two makes it very easy. The rest is so extraneous.,Very easy,,Fair,I did not like the oval funnel shape. Saliva got on my face.,TRUE
97,20,2,Never,Difficult,"My saliva wasn't ""pooling"" so it didn't seem like passive collection. Instead I had to actively generate saliva.",Very easy,,Easy,Easy once I figured out how to make saliva.,TRUE
98,20,3,Never,Very easy,,Very easy,,Very easy,Easy but tasted bad.,TRUE
99,20,4,Never,Very difficult,Had to reread steps. The acronyms SAVI made comprehension slower.,Fair,3 components is kinda a lot.,Easy,,TRUE
100,20,5,Never,Easy,Kinda too many steps. But I like the pictures + text together.,Very easy,"But maybe just one diagram of how it should be assembled in the end, this one seems very intuitive to do.",Very easy,,FALSE
101,21,1,Never,Easy,,Easy,,Easy,That the whole thing is large made it easier to use than the SwabSeq one.,FALSE
102,21,2,Never,Easy,,Easy,,Easy,"It's nice that unlike in SwabSeq, the corrugated end prevented the saliva from flowing out.",FALSE
103,21,3,Never,Easy,,Easy,,Easy,,FALSE
104,21,4,Never,Fair,,Fair,,Fair,The procedure is more convoluted.,FALSE
105,21,5,More than 3 times,Easy,,Easy,,Difficult,"I often have trouble getting saliva from the funnel to the tube, and the saliva often flows out after forming a bubble at the mouth of the tube.",TRUE
106,22,1,Never,Easy,,Easy,,Fair,,FALSE
107,22,2,Never,Easy,,Fair,Caps too tight,Fair,,TRUE
108,22,3,Never,Fair,Words are too small.,Easy,,Easy,,FALSE
109,22,4,Never,Fair,,Fair,,Fair,,TRUE
110,22,5,More than 3 times,Easy,,Easy,,Difficult,Opening is small so saliva gets stuck.,TRUE
111,23,1,Never,Easy,"The instructions were easy to understand, but long. The text was small.",Very easy,No issues with assembly.,Easy,I'm glad that I did not have to fill the tube completely. This funnel had a better shape than the SwabSeq funnel. I was less worried about saliva leakage.,FALSE
112,23,2,Never,Easy,The diagram was very easy to follow/understand. I preferred the diagram to text instructions.,Very easy,The components were easy to orient.,Difficult,"I wasn't sure that I had generated enough saliva & didn't know when I could stop. My mouth had dried up & I felt like I had to spit in order to fill the tube, so it wasn't very ""passive.""",TRUE
113,23,3,Never,Fair,"The diagram seemed to suggest that I should insert the swab into the larger tube after collection, so that was confusing. I also didn't know if I could talk or swallow during the 2 minute collection period.",Very easy,It wasn't too challenging to open a tube & put a cotton swab in my mouth.,Very easy,See above. Not hard to stick a swab in my mouth. I prefer this to spitting.,FALSE
114,23,4,Never,Difficult,I was confused about the swab/compression mechanism. I thought they were separate pieces & didn't realize I had to take the swab out of the compression tube.,Easy,"The eppendorf tube attached easy enough, but the seal wasn't very tight & my saliva leaked during the last step.",Difficult,"First of all, it was hard to get the thing open. The compression step at the end took too much effort.",TRUE
115,23,5,More than 3 times,Easy,"I prefer images to text, but I was glad that the font size was not designed for ants to read. The directions were simple.",Very easy,The components fit together nicely. It is easy to tell what goes with what.,Fair,"I felt like my saliva was running down the outside of the funnel, so I was worried about getting spit on my hands and the tube. I like that so little saliva is required so the collection process is fast overall.",TRUE
116,24,1,Never,Very easy,,Very easy,,Very easy,The shape of the funnel was good for your mouth & spitting into the tube.,FALSE
117,24,2,Never,Easy,,Very easy,,Easy,I like this one it just seemed like it took longer for the saliva to travel through the mouth piece.,FALSE
118,24,3,Never,Easy,,Easy,,Very easy,I liked this one I just didn't like touching the pad with my hands after.,TRUE
119,24,4,Never,Fair,The second/third step were a little confusing once I saw the device.,Fair,A little confusing at first.,Fair,This one got more on my hands than the Salivette.,TRUE
120,24,5,Never,Very easy,,Easy,The funnel was a little tough to get in at first.,Very easy,I like the shape of the first funnel better but I like this tube better.,FALSE
121,25,1,More than 3 times,Very easy,Easy to follow but with a lot of unnecessary info.,Very easy,,Very easy,,TRUE
122,25,2,Never,Difficult,"Step 2 looks like stripped part goes bottom, in step 3 it looks like stripped part goes in mouth. Also would rather not have to touch part that goes in my mouth later.",Easy,,Very easy,At the beginning it was hared to tell if anything was falling.,FALSE
123,25,3,Never,Easy,Unclear what top right image means (mouth-H2O). Unclear if below/over tongue. Font too small in instructions.,Very easy,,Fair,"Very uncomfortable (texture, size) to have in mouth and bad tasting.",FALSE
124,25,4,Never,Very easy,Easy to follow.,Very easy,,Easy,"Took a bit too long, also a bit uncomfortable at the beginning but much less than Salivette.",FALSE
125,25,5,More than 3 times,Very easy,"Great, easy to follow.",Very easy,,Very easy,Easier than cotton swab passive tests.,TRUE
126,26,1,Never,Very difficult,"Why all these technical details & jargon for the end-user, when instructions are only 3 lines?",Very easy,,Very easy,Great.,FALSE
127,26,2,Never,Difficult,"What do these instructions even mean, ""gently?""",Fair,,Fair,It's fine.,TRUE
128,26,3,Never,Fair,Fig 1. in instructions is incomprehensible.,Very easy,,Very easy,Not sure how much was actually collected--no way to tell.,FALSE
129,26,4,Never,Fair,,Fair,"Eppendorf & tube don't really prevent leakage, not very clear how tight tolerances are, how fragile assembly is.",Easy,"Surprisingly ok, the circle is visible.",TRUE
130,26,5,1-3 times,Difficult,Why would I want to rotate the funnel,Easy,,Easy,Much easier than other times I've used it.,FALSE
131,27,1,Never,Very difficult,The instructions were awful. Only trained personnel? Clearly I shouldn't be using it.,Easy,,Very difficult,Tube is way too big. Have to wait for saliva to run down it.,TRUE
132,27,2,Never,Difficult,"""Gently guide"" is confusing.",Very difficult,Cap was too tight to unscrew.,Difficult,,FALSE
133,27,3,Never,Fair,Instructions do not state whether mouth must stay closed.,Easy,,Fair,"Unknown. I don't know how much ""extremely small amount"" is.",TRUE
134,27,4,Never,Fair,,Fair,It wasn't immediately clear that I had to pull the collector from compression tube.,Easy,,FALSE
135,27,5,More than 3 times,Easy,,Easy,,Fair,,FALSE
136,28,1,Never,Easy,"The instructions were easy, but the whole text was confusing and unnecessarily long.",Easy,,Fair,"If the amount of saliva needed was lower, this would be a great device.",FALSE
137,28,2,Never,Fair,,Fair,,Fair,,TRUE
138,28,3,Never,Easy,But too small.,Easy,,Very easy,"It was very easy but also quite disagreeable, the pad had an awful taste.",TRUE
139,28,4,Never,Difficult,,Fair,,Very difficult,"It takes too long, it is a bit frustrating, and having to time 30s while holding tubes full of saliva doesn't sound very appealing.",TRUE
140,28,5,Never,Fair,,Fair,,Difficult,,TRUE
141,29,1,Never,Very easy,,Very easy,,Very easy,,FALSE
142,29,2,Never,Very easy,,Very easy,,Easy,,FALSE
143,29,3,Never,Very easy,,Very easy,,Very easy,,FALSE
144,29,4,Never,Easy,,Very easy,,Fair,My mouth is naturally dry so it ended up taking around the longer side.,TRUE
145,29,5,More than 3 times,Very easy,,Very easy,,Very easy,,FALSE
146,30,1,Never,Fair,"Big words. Also said not to use unless I'm ""skilled personnel"" or ""trained personnel"" of which I am neither.",Very easy,Clearly twist-off.,Easy,,FALSE
147,30,2,Never,Fair,"For what the actual process is, they're pretty complicated. Don't know what a ""whole saliva"" is though.",Easy,Straightforward except I had to double check to see which end of the white tube was supposed to go down.,Fair,"It seems simple but it's pretty painful to purse your lips for that long. Also there is a strong temptation to spit to speed up the process. This is the rosemary pastrami of saliva collection devices: not the worst, but pretty bad.",FALSE
148,30,3,Never,Fair,Pictures were a little weird--I don't know what image 1 means other than don't eat.,Easy,Not clear if it was screw-off or pull-off. Otherwise easy.,Very easy,Just boring.,TRUE
149,30,4,Never,Very difficult,SVAI? It's a red circle! Which one is the compression tube and not the Eppendorf tube? What's an eppendorf? They do have a link to a video which is good.,Very difficult,Not clear what connects where. Does the blue bit come out all the way? Is the compression tube connected to the blue thing? Looks like a syringe--does it work like a syringe?,Difficult,I had to hold it in my hand above my mouth. And it's annoying to check the red circle (SVAI). This device is stupid.,TRUE
150,30,5,More than 3 times,Very easy,"Big font. Small words. Thumbs up. Although step 4 made me feel a little patronized, but I can spit pretty easily so maybe it'd be helpful for others.",Very easy,I just wish the funnel fit a little better but otherwise very simple and straightforward.,Easy,Saliva blockage was a little frustrating as it slowed down what ought to be a quick process.,TRUE
151,31,1,Never,Fair,Lots of words - unclear what are actual instructions,Easy,,Very easy,,FALSE
152,31,2,Never,Easy,,Fair,Hard to get collection aid into tube (How deep did it have to go in?),Difficult,Hard to obtain that much spit (took a while) and direct into tube,FALSE
153,31,3,Never,Easy,,Very easy,,Fair,It was uncomfortable to hold swab in mouth for 2 minutes.,FALSE
154,31,4,Never,Fair,,Difficult,Many components that needed to be assembled,Very difficult,It doesn't look like any saliva has collected.,TRUE
155,31,5,Never,Very easy,,Fair,A little difficult to get funnel into tube,Easy,,FALSE
156,32,1,Never,Easy,,Very easy,,Difficult,,FALSE
157,32,2,Never,Fair,,Very difficult,,Fair,,FALSE
158,32,3,Never,Very easy,,Easy,,Very easy,,FALSE
159,32,4,Never,Difficult,,Difficult,,Difficult,,TRUE
160,32,5,Never,Very easy,,Very easy,,Very difficult,,TRUE
161,33,1,Never,Difficult,Too much wording. Not enough visuals. Not for use by general public.,Easy,,Easy,,TRUE
162,33,2,Never,Difficult,SCA - jargon confusing,Fair,,Fair,,TRUE
163,33,3,Never,Very easy,Print too small. Good graphic.,Easy,,Fair,2 minutes felt long.,FALSE
164,33,4,Never,Easy,,Easy,,Easy,But took time.,FALSE
165,33,5,More than 3 times,Easy,,Easy,,Easy,,TRUE
166,34,1,Never,Very easy,,Very easy,,Very easy,,FALSE
167,34,2,Never,Difficult,,Fair,,Difficult,,TRUE
168,34,3,Never,Easy,,Easy,,Easy,But felt inconvenience.,FALSE
169,34,4,Never,Fair,,Fair,,Fair,Hard to check the appearance of SVAI changes.,FALSE
170,34,5,More than 3 times,Easy,,Easy,,Very difficult,Bubbles are always stuck in the tube due to Bretherton phenomena. Always leakage occur after collection and closing the lid.,TRUE
171,35,1,Never,Very easy,,Very easy,,Very easy,,FALSE
172,35,2,Never,Very easy,,Very easy,,Very easy,"It was a little confusing the term ""relax and allow saliva to pool"" but all good.",FALSE
173,35,3,Never,Fair,"It would be more clear to say, put the ""entire"" swab in your mouth. Also, the tube the swab is put in after is not 100% clear (small vs. large).",Very easy,,Very easy,,FALSE
174,35,4,Never,Difficult,The collector and compression tube being stored together was a little confusing because I felt like they were supposed to stay together.,Fair,See prev. comment. (about instructions),Easy,,TRUE
175,35,5,More than 3 times,Very easy,,Very easy,,Very easy,,FALSE
176,36,1,1-3 times,Very easy,,Very easy,,Easy,,TRUE
177,36,2,1-3 times,Fair,,Fair,,Difficult,Very easy to spill and get saliva everywhere.,TRUE
178,36,3,1-3 times,Easy,,Very easy,,Very difficult,Extremely uncomfortable to keep cotton in mouth for 2 mins. Easy to spill sample.,TRUE
179,36,4,1-3 times,Easy,Clear illustrations.,Easy,,Very difficult,Very uncomfortable to keep cotton in mouth. Hurts fingers/hand to squeeze out saliva into tube.,FALSE
180,36,5,1-3 times,Fair,,Fair,Funnel is flimsy and would prefer it to be larger.,Fair,Easy to overflow.,TRUE
181,37,1,Never,Easy,Unclear from written instructions how much saliva I should deposit into tube.,Easy,Funnel rested in tube a stable way without airtight seal - good.,Easy,"Easy collection, especially due to wide funnel diameter (hence no airtight seal or vacuum in tube) but took some time to reach desired height/amount of saliva.",FALSE
182,37,2,Never,Easy,"Pictures were helpful, but cartoon/diagram would be even better (grayscale shading was confusing).",Very easy,"Could hold with one hand, and flat base was stable on table.",Very easy,"SCA (collection aid) made getting saliva into tube much easier than other methods (swab, funnel), but downside is accuracy, since saliva is still in SCA when desired height is needed inside tube. So potential for overfill if SCA is big/long.",FALSE
183,37,3,Never,Fair,Unclear from written instructions whether I could move it around in my mouth.,Easy,,Fair,Wanted to be careful to not wring out saliva from swab in my mouth through the mouth vacuum suction/compression by tongue/cheeks.,FALSE
184,37,4,Never,Fair,"Pictures with labels were helpful, but process seems relatively complex.",Fair,"Small gap between compression tube and eppendorf tube led to leakage, should be warned about in instructions.",Fair,"Not difficult but took time for SVAI to begin to appear red, especially due to long length of collector swab.",TRUE
185,37,5,1-3 times,Easy,,Easy,May need 2 hands (1 to hold funnel at angle to tube),Fair,"The first time I used this method about a year ago, I had trouble getting saliva into the tube from funnel due to airtight seal. So this time I angled funnel outlet to facilitate transfer of saliva from funnel into tube.",FALSE
186,38,1,Never,Easy,,Easy,It would have been nice if the funnel was secured into place.,Very easy,Pretty straightforward and fast.,FALSE
187,38,2,Never,Very easy,,Very easy,Nicest of the spit/funnel based collection methods. The funnel is easy to spit into and snaps into place.,Very easy,,FALSE
188,38,3,Never,Very easy,,Very easy,,Easy,,FALSE
189,38,4,Never,Difficult,Needed to read it multiple times. Too many steps.,Difficult,Wasn't immediately clear that the sponge collects the saliva then is compressed to release it.,Fair,,TRUE
190,38,5,Never,Very easy,,Easy,It was not clear if the funnel should snap into place.,Easy,,FALSE
191,39,1,Never,Very easy,,Very easy,,Very easy,,FALSE
192,39,2,Never,Easy,,Easy,,Difficult,"Procedure wasn't difficult, but hard to tell when it was full (or if it was working).",TRUE
193,39,3,Never,Very easy,,Very easy,,Very easy,,FALSE
194,39,4,Never,Very easy,,Very easy,,Very easy,This one was really fast! (qualitatively),FALSE
195,39,5,Never,Very easy,,Very easy,,Very easy,,FALSE
196,40,1,More than 3 times,Very easy,,Very easy,,Very easy,,FALSE
197,40,2,Never,Very easy,,Easy,Cap a bit stiff.,Fair,"Went a bit over, got saliva on hands.",TRUE
198,40,3,Never,Fair,Instructions made this seem way more complicated than it was.,Easy,,Easy,,TRUE
199,40,4,Never,Fair,It could be clearer that the collector isn't fixed to the compression tube. Instructions were a little iffy on that.,Fair,,Fair,Took a while to get the red dot.,TRUE
200,40,5,Never,Easy,,Difficult,Sieve didn't fit tube very nicely.,Very difficult,"This was so messy, vacuum pockets galore.",TRUE
201,41,1,Never,Fair,,Easy,A little confusing at first - where the funnel needs to go,Very easy,,FALSE
